Time,Swap,Compare
0.047611700000004475,11157,58602
0.04535830000003216,11335,57304
0.044791799999984505,11283,59558
0.04572569999999132,11243,58132
0.045974999999998545,11074,62715
0.045071400000040285,11282,55997
0.043420400000002246,11388,55405
0.04497839999999087,11367,55921
0.04563300000000936,11193,61035
0.04718510000003562,11124,66461
0.044443699999987984,11278,56487
0.044624800000008236,11305,58656
0.04410510000002432,11238,56844
0.04548299999999017,11162,61185
0.0438694000000055,11297,56312
0.04491450000000441,11273,58389
0.04417399999999816,11371,56140
0.046847200000001976,11154,60238
0.044553099999973256,11358,56872
0.0443096000000196,11136,58195
0.04333750000000691,11323,55437
0.04513040000000501,11239,59711
0.04633000000001175,11211,59562
0.046140800000046056,11206,59655
0.043799799999987954,11360,56529
0.043739000000016404,11345,56439
0.04434859999997798,11257,58229
0.045301400000028025,11338,57313
0.044392800000025545,11322,57181
0.044859599999995226,11243,59318
0.0443220000000224,11157,58278
0.04505200000005516,11131,60362
0.045464199999969424,11360,57771
0.044721700000025066,11243,58686
0.044966100000010556,11284,56791
0.04287149999998974,11414,54362
0.047183300000028794,11190,64103
0.044159199999967313,11330,57463
0.044458300000030704,11186,57894
0.04439510000003111,11219,58510
0.04499500000002854,11231,58154
0.04576150000002599,11206,61147
0.043889100000001235,11432,55176
0.044790900000009515,11249,60201
0.04372209999996812,11314,55113
0.045022300000027826,11273,59669
0.04585880000001907,11177,59159
0.04344120000001794,11393,55241
0.0441712000000507,11335,56966
0.04530779999998913,11169,61155
0.04443829999996751,11378,57032
0.044468300000005456,11223,58082
0.04719280000000481,11257,60716
0.04512139999997089,11201,60042
0.04514219999998659,11339,57153
0.046855600000014874,11015,65129
0.04576359999998658,11187,59784
0.04570000000001073,11214,61747
0.04423450000001594,11349,58125
0.04522940000003928,11217,60424
0.04966500000000451,10934,68242
0.0482532000000333,11082,64338
0.04367390000004434,11296,56573
0.04475919999998723,11252,59286
0.04644129999996949,11006,64570
0.04650370000001658,11233,59764
0.04520300000001498,11200,59570
0.04829530000000659,11026,65402
0.04519759999999451,11214,60990
0.045389399999976376,11375,54981
0.045553499999982705,11175,61231
0.0470677000000137,11161,64350
0.04676960000000463,11050,64870
0.045868799999993826,11296,59391
0.04434720000000425,11340,57275
0.04646339999999327,11304,57057
0.04500889999997071,11253,59009
0.04637669999999616,11182,60234
0.04658969999996998,11040,62121
0.04317689999999175,11422,54887
0.04370899999997846,11321,55397
0.04545760000002019,11301,60045
0.04541660000001002,11207,60213
0.046713800000020456,11006,64827
0.04381499999999505,11321,56041
0.044021600000007766,11380,57213
0.04532289999997374,11154,61180
0.046354199999996126,11011,63944
0.0437886000000276,11366,55354
0.0456470999999965,11163,61214
0.04435280000001285,11267,57423
0.044280099999980393,11229,57772
0.04344509999998536,11360,55088
0.04645379999999477,11198,60996
0.045614199999988614,11163,61011
0.044179799999994884,11325,57535
0.04474800000002688,11256,56580
0.04426530000000639,11157,58773
0.044583099999954356,11192,58189
0.045501199999989694,11194,61632
0.044061999999996715,11362,55815
0.045513099999993756,11243,60677
0.04358129999997118,11385,53982
0.04490409999999656,11136,59881
0.04447740000000522,11235,57663
0.043144000000040705,11391,54690
0.04453109999997196,11404,56570
0.045192000000042754,11175,61045
0.044333499999993364,11234,56848
0.046504499999969084,11044,64039
0.04601070000001073,11052,61371
0.04426809999995385,11216,58349
0.04422890000000734,11341,57315
0.04489849999998796,11239,59720
0.04461049999997613,11249,58692
0.04614379999998164,10928,63226
0.04505180000001019,11267,56887
0.04482740000003105,11198,59474
0.04698289999998906,11099,64465
0.044500700000014604,11297,56613
0.04341260000001057,11363,55846
0.04565470000000005,11235,60240
0.04548949999997376,11378,60937
0.044210300000031566,11325,56973
0.04660039999998844,11206,61434
0.044334399999968355,11313,58428
0.04491999999999052,11257,59162
0.04440429999999651,11353,57085
0.04598620000001574,11188,61825
0.043346399999961704,11409,54391
0.045654300000023795,11272,60635
0.04556880000001229,11080,60044
0.04450339999999642,11178,58889
0.04459120000001349,11369,56459
0.04401940000002469,11346,57087
0.04432289999999739,11368,56700
0.04649330000000873,11212,60689
0.044635200000016084,11299,57043
0.04426809999995385,11319,56984
0.04644020000000637,11229,61500
0.045481999999992695,11103,61118
0.043708899999955975,11308,56718
0.04426759999995511,11238,57827
0.04458929999998418,11270,58350
0.045414499999992586,11222,61042
0.044556199999988166,11279,58678
0.04528329999999414,11056,60849
0.04407150000002957,11259,57164
0.045300600000018676,11195,58482
0.04426380000001018,11274,57778
0.046634999999980664,11255,60812
0.04321050000004334,11395,55346
0.0449757999999747,11176,60528
0.04579780000000255,11228,58922
0.04533259999999473,11270,60046
0.0444152000000031,11239,58148
0.04672829999998385,11112,62238
0.04427309999999807,11293,58073
0.04376289999999017,11316,55761
0.04480380000001105,11264,59358
0.04366499999997586,11468,55499
0.04601519999999937,11277,60288
0.04367010000004257,11317,56078
0.0438429999999812,11339,55346
0.044009700000003704,11301,57451
0.045403700000008484,11336,59048
0.045042099999989205,11235,58760
0.04447800000002644,11361,58420
0.04333790000004001,11321,55146
0.043315000000006876,11259,55915
0.045401700000013534,11002,61724
0.04433499999998958,11198,57790
0.04532670000003236,11183,60926
0.043628300000023046,11295,56603
0.04454020000002856,11206,58771
0.04343880000004674,11273,56009
0.045181099999979324,11241,60176
0.04387090000000171,11297,57354
0.04446079999996755,11348,58677
0.04502949999999828,11300,59077
0.04490929999997206,11263,59501
0.044929699999954664,11289,59799
0.04620080000000826,11126,62527
0.045502600000020266,11144,61411
0.04589770000001181,11356,58681
0.04634630000003881,11197,62329
0.04558049999997138,11117,61623
0.04432009999999309,11226,57944
0.043039200000009714,11457,54991
0.045522100000027876,11216,61266
0.044769799999983206,11280,59629
0.04426819999997633,11392,57053
0.04544629999998051,11182,61784
0.045229399999982434,11302,59926
